"2023-04-24 17:58:27 [restartedMain] INFO  c.e.demo.SpringLoggingApplication - Starting SpringLoggingApplication using Java 17.0.4.1 with PID 18812 (C:\Users\ayush.dewangan\Downloads\OptimaTask\Spring_Logging\target\classes started by ayush.dewangan in C:\Users\ayush.dewangan\Downloads\OptimaTask\Spring_Logging)
""2023-04-24 17:58:27 [restartedMain] DEBUG c.e.demo.SpringLoggingApplication - Running with Spring Boot v3.0.6, Spring v6.0.8
""2023-04-24 17:58:27 [restartedMain] INFO  c.e.demo.SpringLoggingApplication - No active profile set, falling back to 1 default profile: "default"
""2023-04-24 17:58:27 [restartedMain] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.ws.config.annotation.DelegatingWsConfiguration' of type [org.springframework.ws.config.annotation.DelegatingWsConfiguration$$SpringCGLIB$$0] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
""2023-04-24 17:58:27 [restartedMain] INFO  o.s.w.s.a.s.AnnotationActionEndpointMapping - Supporting [WS-Addressing August 2004, WS-Addressing 1.0]
""2023-04-24 17:58:27 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
""2023-04-24 17:58:27 [restartedMain] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
""2023-04-24 17:58:27 [restartedMain] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.8]
""2023-04-24 17:58:27 [restartedMain] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
""2023-04-24 17:58:27 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 242 ms
""2023-04-24 17:58:27 [restartedMain] INFO  o.s.b.d.a.OptionalLiveReloadServer - LiveReload server is running on port 35729
""2023-04-24 17:58:27 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
""2023-04-24 17:58:27 [restartedMain] INFO  c.e.demo.SpringLoggingApplication - Started SpringLoggingApplication in 0.425 seconds (process running for 2772.213)
""2023-04-24 17:58:27 [restartedMain] INFO  o.s.b.d.a.ConditionEvaluationDeltaLoggingListener - Condition evaluation unchanged
""2023-04-24 17:59:27 [http-nio-8080-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
""2023-04-24 17:59:27 [http-nio-8080-exec-1] INFO  c.e.demo.controller.TestController - enter in sendMessage rest.
""2023-04-24 17:59:27 [http-nio-8080-exec-1] INFO  c.example.demo.service.TestService - Request Body: Test [testMarks=100, subject=Maths]
""2023-04-24 18:00:08 [File Watcher] INFO  o.s.b.d.a.LocalDevToolsAutoConfiguration$RestartingClassPathChangeChangedEventListener - Restarting due to 1 class path change (0 additions, 0 deletions, 1 modification)
""2023-04-24 18:00:08 [Thread-11] INFO  o.a.catalina.core.StandardService - Stopping service [Tomcat]
""2023-04-24 18:00:08 [Thread-11] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Destroying Spring FrameworkServlet 'dispatcherServlet'
"
